Time 	Distance	 Laps	 µ	FrictionForce
31,001	0,77552992105484	40,85714	0,39768	1,19305
31,101	0,778241574764252	41,00000	0,47813	1,43438
31,201	0,780614256858826	41,12500	0,54426	1,63278
31,301	0,7829869389534	41,25000	0,45397	1,36192
31,401	0,785359621047974	41,37500	0,37818	1,13453
31,501	0,787732362747192	41,50000	0,33795	1,01386
31,601	0,790105044841766	41,62500	0,48085	1,44254
31,701	0,79247772693634	41,75000	0,40217	1,20652
31,801	0,794850409030914	41,87500	0,45544	1,36631
31,901	0,797223091125488	42,00000	0,50629	1,51887
32,001	0,799595773220062	42,12500	0,54322	1,62966
32,101	0,801968455314636	42,25000	0,48208	1,44624
32,201	0,80434113740921	42,37500	0,36941	1,10824
32,301	0,806713819503784	42,50000	0,40528	1,21585
32,401	0,809086561203003	42,62500	0,52902	1,58706
32,501	0,811459243297577	42,75000	0,38133	1,14400
32,601	0,813831925392151	42,87500	0,49758	1,49274
32,701	0,816204607486725	43,00000	0,55567	1,66701
32,801	0,818916261196136	43,14286	0,54163	1,62488
32,901	0,821627914905548	43,28571	0,46923	1,40770
33,001	0,82433956861496	43,42857	0,40281	1,20844
33,101	0,827051162719727	43,57143	0,51523	1,54570
33,201	0,829762816429138	43,71429	0,46878	1,40635
33,301	0,83247447013855	43,85714	0,44459	1,33378
33,401	0,835186123847961	44,00000	0,53428	1,60284
33,501	0,837558805942535	44,12500	0,58228	1,74683
33,601	0,839931488037109	44,25000	0,56361	1,69082
33,701	0,842304170131683	44,37500	0,44609	1,33827
33,801	0,844676852226257	44,50000	0,45502	1,36505
33,901	0,847049593925476	44,62500	0,57588	1,72763
34,001	0,84942227602005	44,75000	0,41037	1,23112
34,101	0,851794958114624	44,87500	0,50922	1,52766
34,201	0,854167640209198	45,00000	0,55972	1,67917
34,301	0,85687929391861	45,14286	0,60010	1,80029
34,401	0,859590888023376	45,28571	0,53834	1,61502
34,501	0,862302541732788	45,42857	0,47386	1,42157
34,601	0,8650141954422	45,57143	0,53956	1,61869
34,701	0,867725849151611	45,71429	0,54725	1,64176
34,801	0,870437443256378	45,85714	0,43248	1,29744
34,901	0,87314909696579	46,00000	0,51969	1,55907
35,001	0,875521779060364	46,12500	0,59391	1,78173
35,101	0,877894461154938	46,25000	0,62143	1,86428
35,201	0,880267143249512	46,37500	0,49438	1,48314
35,301	0,88263988494873	46,50000	0,52396	1,57188
35,401	0,885012567043304	46,62500	0,59066	1,77197
35,501	0,887385249137878	46,75000	0,45439	1,36316
35,601	0,889757931232452	46,87500	0,50307	1,50922
35,701	0,892130613327026	47,00000	0,55172	1,65516
