Time 	Distance	 Laps	 µ	FrictionForce 
48,600	1,2124434709549	63,87500	0,15024	0,45072
48,700	1,21481621265411	64,00000	0,19088	0,57264
48,800	1,21718883514404	64,12500	0,21159	0,63477
48,900	1,21956157684326	64,25000	0,24152	0,72456
49,000	1,22193431854248	64,37500	0,19003	0,57010
49,100	1,22430694103241	64,50000	0,16603	0,49810
49,200	1,22667956352234	64,62500	0,15581	0,46742
49,300	1,22905230522156	64,75000	0,13642	0,40925
49,400	1,23142504692078	64,87500	0,17100	0,51299
49,500	1,23379766941071	65,00000	0,20075	0,60225
49,600	1,23650932312012	65,14285	0,23183	0,69550
49,700	1,23922097682953	65,28571	0,22691	0,68074
49,800	1,24193263053894	65,42857	0,18160	0,54481
49,900	1,24464416503906	65,57143	0,16519	0,49558
50,000	1,24735581874847	65,71429	0,14548	0,43643
50,100	1,25006747245789	65,85714	0,14985	0,44955
50,200	1,2527791261673	66,00000	0,19169	0,57507
50,300	1,25515186786652	66,12500	0,21217	0,63652
50,400	1,25752449035645	66,25000	0,24726	0,74177
50,500	1,25989723205566	66,37500	0,20180	0,60540
50,600	1,26226997375488	66,50000	0,17513	0,52538
50,700	1,26464259624481	66,62500	0,16858	0,50575
50,800	1,26701533794403	66,75000	0,13948	0,41844
50,900	1,26938796043396	66,87500	0,16412	0,49237
51,000	1,27176070213318	67,00000	0,20682	0,62046
51,100	1,27447235584259	67,14285	0,23183	0,69548
51,200	1,277184009552	67,28571	0,23781	0,71344
